Id,GameURL,Critic,Score,ReviewDate
1,http://www.metacritic.com/game/3ds/10-in-1-arcade-collection,NintendoWorldReport,55,2013-09-29
15,http://www.metacritic.com/game/dreamcast/18-wheeler-american-pro-trucker,"DC Swirl",40,NULL
20,http://www.metacritic.com/game/game-boy-advance/a-sound-of-thunder,"Game Informer",45,NULL
57,http://www.metacritic.com/game/gamecube/1080-avalanche,eToychest,40,NULL
67,http://www.metacritic.com/game/ds/007-quantum-of-solace,Modojo,40,NULL
91,http://www.metacritic.com/game/game-boy-advance/ace-combat-advance,"Play Magazine",38,NULL
93,http://www.metacritic.com/game/dreamcast/4x4-evolution,"Daily Radar",50,NULL
97,http://www.metacritic.com/game/3ds/1001-spikes,"Edge Magazine",60,2014-08-20
113,http://www.metacritic.com/game/playstation-4/killallzombies,"Push Square",60,2014-11-13
140,http://www.metacritic.com/game/playstation/007-racing,"Games Radar",0,NULL
156,http://www.metacritic.com/game/playstation-2/hackgu-vol-1rebirth,IGN,50,NULL
161,http://www.metacritic.com/game/nintendo-64/007-the-world-is-not-enough,"Daily Radar",50,NULL
165,http://www.metacritic.com/game/playstation-3/detuned,Gamestyle,30,NULL
182,http://www.metacritic.com/game/gamecube/18-wheeler-american-pro-trucker,"All Game Guide",40,NULL
187,http://www.metacritic.com/game/ds/1-vs-100,GameZone,20,NULL
195,http://www.metacritic.com/game/psp/1000-tiny-claws,"Playstation Official Magazine UK",40,2011-12-03
204,http://www.metacritic.com/game/ios/hook,"Pocket Gamer UK",70,2015-01-27
211,http://www.metacritic.com/game/game-boy-advance/activision-anthology,"Nintendo Power",48,NULL
213,http://www.metacritic.com/game/wii/aha!-i-found-it!-hidden-object-game,"Official Nintendo Magazine UK",18,NULL
216,http://www.metacritic.com/game/wii-u/007-legends,"Nintendo Life",40,2012-12-17
219,http://www.metacritic.com/game/3ds/101-dinopets-3d,"Nintendo Life",30,2013-01-14
259,http://www.metacritic.com/game/xbox/187-ride-or-die,"Gaming Nexus",20,NULL
307,http://www.metacritic.com/game/playstation-4/1001-spikes,"Hardcore Gamer",70,2014-06-05
358,http://www.metacritic.com/game/playstation-2/hackgu-vol-2reminisce,"The A.V. Club",42,NULL
384,http://www.metacritic.com/game/xbox-one/idarb,"Edge Magazine",60,2015-03-30
386,http://www.metacritic.com/game/dreamcast/aerowings-2-air-strike,"Gaming Maxx",16,NULL
391,http://www.metacritic.com/game/xbox-360/splosion-man,"Gameplayer Sweden",70,NULL
394,http://www.metacritic.com/game/psp/101-in-1-megamix,"Playstation Official Magazine UK",60,2010-12-24
400,http://www.metacritic.com/game/nintendo-64/1080-teneighty-snowboarding,"Electric Playground",55,NULL
411,http://www.metacritic.com/game/playstation/007-the-world-is-not-enough,"Gaming Age",50,NULL
412,http://www.metacritic.com/game/ios/superhyper,TouchArcade,80,2014-10-20
415,http://www.metacritic.com/game/wii/aha!-i-got-it!-escape-game,"Official Nintendo Magazine UK",70,NULL
424,http://www.metacritic.com/game/gamecube/2002-fifa-world-cup,GamePro,70,NULL
449,http://www.metacritic.com/game/game-boy-advance/advance-guardian-heroes,"G4 TV",20,NULL
450,http://www.metacritic.com/game/3ds/101-penguin-pets-3d,"Nintendo Life",50,2013-10-22
451,http://www.metacritic.com/game/ds/100-all-time-favorites,Everyeye.it,65,NULL
479,http://www.metacritic.com/game/playstation-3/007-legends,"Hyper Magazine",20,2012-12-17
490,http://www.metacritic.com/game/xbox/2002-fifa-world-cup,GamePen,60,NULL
495,http://www.metacritic.com/game/wii-u/1001-spikes,Cubed3,70,2014-06-08
506,http://www.metacritic.com/game/dreamcast/alien-front-online,"Gaming Age",58,NULL
510,http://www.metacritic.com/game/ios/revolve,AppSpy,60,2014-06-17
525,http://www.metacritic.com/game/playstation-2/hackgu-vol-3redemption,"Game Revolution",33,NULL
535,http://www.metacritic.com/game/playstation-vita/1001-spikes,"Gaming Age",75,2014-06-20
536,http://www.metacritic.com/game/gamecube/4x4-evo-2,"Electronic Gaming Monthly",40,NULL
537,http://www.metacritic.com/game/3ds/101-pony-pets-3d,"Nintendo Life",50,2014-08-01
556,http://www.metacritic.com/game/xbox-360/0-day-attack-on-earth,"Metro GameCentral",20,NULL
558,http://www.metacritic.com/game/xbox-one/1001-spikes,ZTGD,70,2014-06-26
563,http://www.metacritic.com/game/playstation/2002-fifa-world-cup,GameSpot,68,NULL
572,http://www.metacritic.com/game/wii/007-quantum-of-solace,DarkZero,40,NULL
579,http://www.metacritic.com/game/ds/100-classic-books,Eurogamer,40,NULL
582,http://www.metacritic.com/game/wii-u/99moves,"Nintendo Life",50,2015-01-04
610,http://www.metacritic.com/game/game-boy-advance/advance-wars,"Electronic Gaming Monthly",73,NULL
667,http://www.metacritic.com/game/psp/2010-fifa-world-cup-south-africa,Gamekult,50,NULL
670,http://www.metacritic.com/game/playstation-3/007-quantum-of-solace,"Video Game Talk",30,NULL
672,http://www.metacritic.com/game/ios/-kingdomconquest-,"Pocket Gamer UK",80,2011-02-17
687,http://www.metacritic.com/game/xbox/25-to-life,"Edge Magazine",20,NULL
694,http://www.metacritic.com/game/nintendo-64/aidyn-chronicles-the-first-mage,GameShark,36,NULL
699,http://www.metacritic.com/game/3ds/2-fast-4-gnomz,"Official Nintendo Magazine UK",59,2013-02-22
710,http://www.metacritic.com/game/dreamcast/alone-in-the-dark-the-new-nightmare,"Next Generation Magazine",60,NULL
714,http://www.metacritic.com/game/wii-u/99seconds,FNintendo,50,2014-10-23
720,http://www.metacritic.com/game/playstation-vita/2013-infected-wars,"The Vita Lounge",36,2015-07-20
722,http://www.metacritic.com/game/playstation-4/aarus-awakening,Everyeye.it,49,2015-04-16
790,http://www.metacritic.com/game/playstation-2/hackinfection-part-1,Gamestyle,50,NULL
806,http://www.metacritic.com/game/xbox-360/007-legends,Gameblog.fr,20,2012-10-18
808,http://www.metacritic.com/game/psp/3-2-1supercrash!,"Playstation Official Magazine UK",70,2011-02-22
809,http://www.metacritic.com/game/ios/-slider-,148Apps,60,2014-11-25
813,http://www.metacritic.com/game/ds/1001-blockbusters,"Wii Brasil",30,2011-10-29
823,http://www.metacritic.com/game/nintendo-64/army-men-air-combat,Nintendorks,30,NULL
828,http://www.metacritic.com/game/3ds/2048,Cubed3,50,2014-09-18
854,http://www.metacritic.com/game/gamecube/aggressive-inline,"Play Magazine",60,NULL
859,http://www.metacritic.com/game/xbox/4x4-evo-2,"Game Revolution",25,NULL
864,http://www.metacritic.com/game/wii/101-in-1-explosive-megamix,"Nintendo Gamer",0,2011-11-02
884,http://www.metacritic.com/game/playstation-3/1942-joint-strike,Boomtown,50,NULL
918,http://www.metacritic.com/game/game-boy-advance/advance-wars-2-black-hole-rising,GamePro,80,NULL
934,http://www.metacritic.com/game/dreamcast/army-men-sarges-heroes,"DC Swirl",50,NULL
935,http://www.metacritic.com/game/playstation/ace-combat-2,"Computer and Video Games",50,NULL
940,http://www.metacritic.com/game/pc/007-legends,"PC Gamer",16,2013-01-05
943,http://www.metacritic.com/game/ios/-and-then-it-rained,"Pocket Gamer UK",70,2014-05-09
946,http://www.metacritic.com/game/ds/1001-crystal-mazes-collection,"Official Nintendo Magazine UK",32,2011-02-01
961,http://www.metacritic.com/game/playstation-4/abyss-odyssey-extended-dream-edition,Twinfinite,40,2015-07-31
1030,http://www.metacritic.com/game/xbox-360/007-quantum-of-solace,"Official Xbox Magazine UK",40,NULL
1032,http://www.metacritic.com/game/wii/101-in-1-party-megamix,AceGamez,53,NULL
1046,http://www.metacritic.com/game/playstation/action-bass,"CNET Gamecenter",20,NULL
1051,http://www.metacritic.com/game/dreamcast/atari-anniversary-edition,GameSpot,40,NULL
1059,http://www.metacritic.com/game/game-boy-advance/aero-the-acro-bat,GameSpot,42,NULL
1100,http://www.metacritic.com/game/playstation-2/hackmutation-part-2,"Jolt Online Gaming UK",55,NULL
1114,http://www.metacritic.com/game/psp/300-march-to-glory,Thunderbolt,10,NULL
1126,http://www.metacritic.com/game/wii-u/a-world-of-keflings,"Gaming Age",42,2014-12-24
1127,http://www.metacritic.com/game/nintendo-64/army-men-sarges-heroes-2,"CNET Gamecenter",30,NULL
1146,http://www.metacritic.com/game/xbox/50-cent-bulletproof,"G4 TV",20,NULL
1169,http://www.metacritic.com/game/gamecube/alien-hominid,"Game Revolution",67,NULL
1170,http://www.metacritic.com/game/3ds/35-junior-games,"Nintendo Life",60,2013-01-31
1222,http://www.metacritic.com/game/ios/decluster---into-the-bullet-hell,"IGN Italia",78,2015-03-23
1225,http://www.metacritic.com/game/ds/1001-touch-games,Cubed3,60,2012-01-09
1229,http://www.metacritic.com/game/playstation-3/2010-fifa-world-cup-south-africa,"Cheat Code Central",58,NULL
1230,http://www.metacritic.com/game/playstation-4/aces-of-the-luftwaffe,"PlayStation LifeStyle",35,2015-03-05
1242,http://www.metacritic.com/game/wii/101-in-1-sports-party-megamix,DarkZero,10,2011-05-19
1252,http://www.metacritic.com/game/game-boy-advance/aggressive-inline,GameZone,65,NULL
1258,http://www.metacritic.com/game/pc/007-nightfire,"Computer Gaming World",20,NULL
1260,http://www.metacritic.com/game/psp/3d-twist-match,Eurogamer,20,2011-04-23
1263,http://www.metacritic.com/game/xbox-one/adventures-of-pip,"Brash Games",60,2015-10-02
1275,http://www.metacritic.com/game/playstation/alien-resurrection,GameSpot,47,NULL
1285,http://www.metacritic.com/game/dreamcast/bang!-gunship-elite,"DC Swirl",50,NULL
1291,http://www.metacritic.com/game/ios/decluster-zero-bullet-nocturne,148Apps,90,2015-08-31
1308,http://www.metacritic.com/game/playstation-2/hackoutbreak-part-3,"Cheat Code Central",50,NULL
1310,http://www.metacritic.com/game/ds/101-dolphin-pets,"Nintendo Life",70,2011-02-07
1320,http://www.metacritic.com/game/wii-u/abyss,"Official Nintendo Magazine UK",45,2014-08-08
1343,http://www.metacritic.com/game/gamecube/all-star-baseball-2002,"Game Revolution",42,NULL
1346,http://www.metacritic.com/game/3ds/3d-after-burner-ii,"Hardcore Gamer",70,2015-01-23
1352,http://www.metacritic.com/game/game-boy-advance/airforce-delta-storm,"GamerWeb Nintendo",50,NULL
1388,http://www.metacritic.com/game/xbox-360/1942-joint-strike,"Edge Magazine",40,NULL
1421,http://www.metacritic.com/game/playstation-3/2014-fifa-world-cup-brazil,Level7.nu,50,2014-05-12
1423,http://www.metacritic.com/game/ios/noon,148Apps,70,2014-11-11
1441,http://www.metacritic.com/game/pc/007-quantum-of-solace,"Gamer 2.0",56,NULL
1443,http://www.metacritic.com/game/ds/101-minigolf-world,"Nintendo Life",10,NULL
1458,http://www.metacritic.com/game/playstation/alone-in-the-dark-the-new-nightmare,"Electronic Gaming Monthly",57,NULL
1477,http://www.metacritic.com/game/nintendo-64/banjo-kazooie,"Adrenaline Vault",80,NULL
1489,http://www.metacritic.com/game/dreamcast/bangai-o,"DC Swirl",80,NULL
1492,http://www.metacritic.com/game/3ds/3d-altered-beast,"Official Nintendo Magazine UK",23,2014-02-12
1512,http://www.metacritic.com/game/playstation-2/hackquarantine-part-4,"PSX Extreme",57,NULL
1528,http://www.metacritic.com/game/gamecube/all-star-baseball-2003,"Nintendo Power",64,NULL
1535,http://www.metacritic.com/game/game-boy-advance/alex-rider-stormbreaker,"Worth Playing",36,NULL
